"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3795","0.0-0.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3798","0.0-1.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7013","0.0-2.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","3201","key"," "," ","16.700213541666667","500","250","inst","","","","","","",""
"","psychophysics","3","9381","0.0-3.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","2365","key"," "," ","16.70043971631206","500","250","inst","","","","","","",""
"","psychophysics","4","27941","0.0-4.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","18557","key"," "," ","16.70035225225225","500","250","instMl","246","-41","13","28","-20","",""
"","psychophysics","5","50085","0.0-5.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","22139","key"," "," ","16.70032452830189","500","250","instMl","154","-25.666666666666668","5","21","-25.666666666666686","",""
"","psychophysics","6","65148","0.0-6.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","15059","key"," "," ","16.700295227524965","500","250","inst","","","","","","",""
"","psychophysics","7","74371","0.0-7.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","9220","key"," "," ","16.70027536231886","500","250","ml","192","44","11","3","-9","",""
"","psychophysics","8","80995","0.0-8.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","6622","key"," "," ","16.70044303797469","500","250","ml","182","19","29","25","-9","",""
"","psychophysics","9","85980","0.0-9.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","4982","key"," "," ","16.70022483221477","500","250","ml","232","-16","-18","-17","-16","",""
"","psychophysics","10","94747","0.0-10.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","8766","key"," "," ","16.700360687022904","500","250","ml","250","23","-12","-28","-11","",""
"","psychophysics","11","100499","0.0-11.0","57f3b6bfa1100100016d1454","625729b853af61d9ad5f5e5e","","","","","5750","key"," "," ","16.700373177842575","500","250","ml","232","15","-11","-6","-10","",""
